,,,INJURIES_DIRECT,INJURIES_DIRECT,DEATHS_DIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_PROPERTY
,,,count_nonzero,sum,count_nonzero,sum,count_nonzero,sum,count_nonzero,sum
STATE,EVENT_TYPE,YEAR,,,,,,,,
ALABAMA,High Wind,1999,1,2,0,0,0,0,10,332590.0
ALABAMA,High Wind,2000,0,0,1,1,0,0,3,525000.0
ALABAMA,High Wind,2001,1,1,2,2,0,0,0,0.0
ALABAMA,High Wind,2002,0,0,0,0,0,0,6,555000.0
ALABAMA,High Wind,2003,0,0,0,0,0,0,0,0.0
ALABAMA,High Wind,2004,2,5,0,0,0,0,9,832500.0
ALABAMA,High Wind,2005,0,0,0,0,0,0,1,2500.0
ALABAMA,High Wind,2006,0,0,0,0,0,0,1,25000.0
ALABAMA,High Wind,2008,0,0,0,0,0,0,2,500000.0
ALABAMA,High Wind,2009,0,0,0,0,0,0,5,80000.0
ALABAMA,High Wind,2010,0,0,0,0,0,0,0,0.0
ALABAMA,High Wind,2011,0,0,0,0,0,0,3,300000.0
ALABAMA,High Wind,2012,0,0,0,0,0,0,0,0.0
ALABAMA,High Wind,2013,0,0,0,0,0,0,0,0.0
ALABAMA,High Wind,2015,0,0,0,0,0,0,0,0.0
ALABAMA,High Wind,2016,0,0,0,0,0,0,1,30.0
ALABAMA,High Wind,2017,0,0,0,0,0,0,1,25000.0
ALABAMA,High Wind,2019,0,0,0,0,0,0,1,2500.0
ALABAMA,High Wind,2020,0,0,0,0,0,0,0,0.0
ALABAMA,High Wind,2021,0,0,0,0,0,0,0,0.0
ALABAMA,High Wind,2022,0,0,0,0,0,0,0,0.0
ALABAMA,Thunderstorm Wind,1955,0,0,0,0,0,0,12,2952750.0
ALABAMA,Thunderstorm Wind,1956,0,0,0,0,0,0,13,615250.0
ALABAMA,Thunderstorm Wind,1957,0,0,0,0,0,0,11,1555250.0
ALABAMA,Thunderstorm Wind,1958,0,0,0,0,0,0,3,52500.0
ALABAMA,Thunderstorm Wind,1959,0,0,0,0,0,0,12,2702780.0
ALABAMA,Thunderstorm Wind,1960,0,0,0,0,0,0,9,8052750.0
ALABAMA,Thunderstorm Wind,1961,0,0,0,0,0,0,19,28690000.0
ALABAMA,Thunderstorm Wind,1962,0,0,0,0,0,0,26,3673780.0
ALABAMA,Thunderstorm Wind,1963,0,0,0,0,0,0,23,1965500.0
ALABAMA,Thunderstorm Wind,1964,0,0,0,0,0,0,23,3317750.0
ALABAMA,Thunderstorm Wind,1965,0,0,0,0,0,0,16,3452810.0
ALABAMA,Thunderstorm Wind,1966,0,0,0,0,0,0,11,12875000.0
ALABAMA,Thunderstorm Wind,1967,0,0,0,0,0,0,43,32631250.0
ALABAMA,Thunderstorm Wind,1968,0,0,0,0,0,0,47,5915750.0
ALABAMA,Thunderstorm Wind,1969,0,0,0,0,0,0,33,8020500.0
ALABAMA,Thunderstorm Wind,1970,0,0,0,0,0,0,32,36045370.0
ALABAMA,Thunderstorm Wind,1971,0,0,0,0,0,0,67,16362560.0
ALABAMA,Thunderstorm Wind,1972,0,0,0,0,0,0,31,5315500.0
ALABAMA,Thunderstorm Wind,1973,0,0,0,0,0,0,73,8943560.0
ALABAMA,Thunderstorm Wind,1974,0,0,0,0,0,0,62,98000750.0
ALABAMA,Thunderstorm Wind,1975,0,0,0,0,0,0,63,10360810.0
ALABAMA,Thunderstorm Wind,1976,0,0,0,0,0,0,46,11945280.0
ALABAMA,Thunderstorm Wind,1977,0,0,0,0,0,0,61,5698310.0
ALABAMA,Thunderstorm Wind,1978,0,0,0,0,0,0,64,16688280.0
ALABAMA,Thunderstorm Wind,1979,0,0,0,0,0,0,49,7233870.0
ALABAMA,Thunderstorm Wind,1980,0,0,0,0,0,0,49,3933560.0
ALABAMA,Thunderstorm Wind,1981,0,0,0,0,0,0,62,10444250.0
ALABAMA,Thunderstorm Wind,1982,0,0,0,0,0,0,58,8141060.0
ALABAMA,Thunderstorm Wind,1983,2,4,1,1,0,0,135,19594150.0
ALABAMA,Thunderstorm Wind,1984,6,18,1,11,0,0,102,11040620.0
ALABAMA,Thunderstorm Wind,1985,8,18,2,3,0,0,158,22914590.0
ALABAMA,Thunderstorm Wind,1986,12,22,2,6,0,0,79,12239060.0
ALABAMA,Thunderstorm Wind,1987,4,5,0,0,0,0,82,7989120.0
ALABAMA,Thunderstorm Wind,1988,0,0,0,0,0,0,77,16263150.0
ALABAMA,Thunderstorm Wind,1989,5,21,0,0,0,0,137,21506710.0
ALABAMA,Thunderstorm Wind,1990,17,96,0,0,0,0,100,38123590.0
ALABAMA,Thunderstorm Wind,1991,7,19,0,0,0,0,67,25981800.0
ALABAMA,Thunderstorm Wind,1992,5,11,2,2,0,0,87,11284370.0
ALABAMA,Thunderstorm Wind,1993,3,9,0,0,0,0,42,5850840.0
ALABAMA,Thunderstorm Wind,1994,6,9,1,1,0,0,79,39754090.0
ALABAMA,Thunderstorm Wind,1995,5,10,1,3,0,0,216,43585020.0
ALABAMA,Thunderstorm Wind,1996,6,21,1,1,0,0,64,21412840.0
ALABAMA,Thunderstorm Wind,1997,6,6,0,0,0,0,74,113069090.0
ALABAMA,Thunderstorm Wind,1998,8,18,1,1,0,0,58,35786150.0
ALABAMA,Thunderstorm Wind,1999,4,9,1,1,0,0,61,18146680.0
ALABAMA,Thunderstorm Wind,2000,9,12,2,2,0,0,95,18501680.0
ALABAMA,Thunderstorm Wind,2001,9,36,2,2,0,0,92,263125430.0
ALABAMA,Thunderstorm Wind,2002,2,2,0,0,0,0,59,9811030.0
ALABAMA,Thunderstorm Wind,2003,2,5,0,0,0,0,48,55174370.0
ALABAMA,Thunderstorm Wind,2004,1,1,1,1,0,0,69,12133280.0
ALABAMA,Thunderstorm Wind,2005,3,7,0,0,0,0,76,19526060.0
ALABAMA,Thunderstorm Wind,2006,5,5,0,0,0,0,77,36394340.0
ALABAMA,Thunderstorm Wind,2007,2,10,0,0,0,0,70,49415370.0
ALABAMA,Thunderstorm Wind,2008,5,16,1,1,0,0,112,51900870.0
ALABAMA,Thunderstorm Wind,2009,10,13,1,1,0,0,149,88722370.0
ALABAMA,Thunderstorm Wind,2010,2,2,0,0,1,1,120,22699460.0
ALABAMA,Thunderstorm Wind,2011,14,26,3,3,0,0,258,220006110.0
ALABAMA,Thunderstorm Wind,2012,6,6,1,1,0,0,114,47435340.0
ALABAMA,Thunderstorm Wind,2013,2,3,1,1,0,0,87,68645650.0
ALABAMA,Thunderstorm Wind,2014,3,5,1,1,0,0,106,19818430.0
ALABAMA,Thunderstorm Wind,2015,6,7,2,3,1,1,89,22839280.0
ALABAMA,Thunderstorm Wind,2016,4,4,0,0,0,0,109,62933020.0
ALABAMA,Thunderstorm Wind,2017,8,10,1,4,0,0,136,389298210.0
ALABAMA,Thunderstorm Wind,2018,5,17,0,0,0,0,107,52078740.0
ALABAMA,Thunderstorm Wind,2019,5,5,0,0,0,0,118,24976620.0
ALABAMA,Thunderstorm Wind,2020,3,6,0,0,0,0,204,97543550.0
ALABAMA,Thunderstorm Wind,2021,3,3,1,2,0,0,155,118123960.0
ALABAMA,Thunderstorm Wind,2022,2,13,1,2,0,0,91,110798590.0
ALABAMA,Tornado,1950,1,15,0,0,0,0,2,27500.0
ALABAMA,Tornado,1951,5,13,0,0,0,0,5,1002500.0
ALABAMA,Tornado,1952,8,116,3,6,0,0,10,6302500.0
ALABAMA,Tornado,1953,14,248,4,16,0,0,18,1230090.0
ALABAMA,Tornado,1954,5,36,0,0,0,0,10,607530.0
ALABAMA,Tornado,1955,4,27,1,5,0,0,5,1002500.0
ALABAMA,Tornado,1956,3,203,1,25,0,0,7,1075000.0
ALABAMA,Tornado,1957,15,192,4,10,0,0,41,7682750.0
ALABAMA,Tornado,1958,3,3,1,1,0,0,20,2430500.0
ALABAMA,Tornado,1959,2,8,0,0,0,0,6,78000.0
ALABAMA,Tornado,1960,1,2,0,0,0,0,9,5530060.0
ALABAMA,Tornado,1961,9,28,0,0,0,0,19,3192780.0
ALABAMA,Tornado,1962,1,10,0,0,0,0,8,5057750.0
ALABAMA,Tornado,1963,8,76,2,3,0,0,19,1910500.0
ALABAMA,Tornado,1964,9,31,2,12,0,0,21,4665000.0
ALABAMA,Tornado,1965,4,44,0,0,0,0,11,10777560.0
ALABAMA,Tornado,1966,4,17,1,1,0,0,10,5175250.0
ALABAMA,Tornado,1967,11,97,3,5,0,0,21,1962530.0
ALABAMA,Tornado,1968,5,46,1,1,0,0,11,1352750.0
